#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|OAT|34.34361|-118.61442|1089.0|Oat Mountain|1999-03-11T00:00:00|
CI|OCP|32.74755|-116.01931|155.13|Ocotillo Community Park|2015-04-17T00:00:00|
CI|OGC|33.78816|-117.844|64.0|Orange (Chapman)|1995-10-16T00:00:00|
CI|OKV|34.396969|-119.298737|124.0|Oakview, , , |1997-03-27T00:00:00|2000-03-30T00:00:00
CI|OLI|33.945389|-117.923721|162.0|Olinda|1999-11-23T00:00:00|
CI|OLP|32.60771|-116.93019|159.0|Otay Lakes Park|2001-01-10T00:00:00|
CI|PALA|33.38905|-117.03182|552.0|Pala|2014-01-09T00:00:00|
CI|PAS|34.148441|-118.171173|314.0|Pasadena|1927-03-31T00:00:00|2006-10-30T22:18:00
CI|PASA|34.148441|-118.171127|257.0|Pasadena, Pasadena, CA, USA|1992-05-05T00:00:00|2006-10-31T00:00:00
CI|PASC|34.17141|-118.18523|341.0|Art Center College of Design (GSN-affiliate)|2006-10-05T00:00:00|
CI|PDE|34.44199|-118.58215|328.0|Pardee|1999-09-23T00:00:00|
CI|PDR|33.96273|-118.437019|45.0|Playa Del Rey|2001-02-02T00:00:00|
CI|PDU|34.1207|-117.63808|445.0|Padua|1999-10-16T00:00:00|
CI|PDW|33.92397|-117.61713|166.0|Prado Wetlands|2015-05-01T16:45:00|
CI|PEM|34.16689|-117.87009|777.0|Pine Mtn|1976-01-01T00:00:00|2019-09-30T00:00:00
CI|PEM|34.16689|-117.87009|777.0|Pine Mtn|2021-10-08T19:00:00|
CI|PER|33.86164|-117.20529|468.0|Lake Perris|2003-05-21T00:00:00|
CI|PFO|33.611641|-116.45858|1288.0|Pinyon Flats Observatory|1990-10-31T00:00:00|1998-01-06T00:00:00
CI|PGA|33.4914|-117.0635|351.502533|Pechanga|2013-10-29T00:00:00|
CI|PLC|33.82436|-116.511948|130.0|Palm Spgs City Hall|1999-05-25T00:00:00|2008-06-17T16:23:23
CI|PLM|33.353611|-116.862648|1691.0|Palomar|1939-09-09T00:00:00|
CI|PLS|33.7953|-117.609062|1199.0|Pleasants Peak|1990-05-23T00:00:00|
CI|PMD|33.64785|-116.37769|296.0|Palm Desert|2005-05-07T00:45:00|
CI|PNM|33.977379|-115.801613|1101.0|Pinto Mtns, Twentynine Palms, CA, USA|1974-04-30T00:00:00|2008-12-10T20:00:00
CI|POB|33.686989|-116.924019|974.0|Polly Butte, Hemet, CA, USA|1976-05-31T00:00:00|2014-03-20T16:28:00
CI|POB2|33.68708|-116.92382|999.0|Polly Butte 2|2014-03-20T19:00:00|
CI|PSD|33.82393|-116.55026|144.0|Palm Springs Desert Museum|2005-04-13T23:13:00|
CI|PSR|34.09181|-117.80709|305.0|Puddingstone|2005-09-14T00:00:00|
CI|PTD|34.00443|-118.80686|7.0|Point Dume|1973-06-30T00:00:00|
CI|Q0000|34.187904|-118.115166|398.9|Altadena 1|2012-04-02T21:00:00|
CI|Q0001|34.149406|-118.030373|161.0|Arcadia|2010-11-11T00:00:00|
CI|Q0002|34.072487|-118.399117|76.3|Beverly Hills|2010-12-17T00:00:00|
CI|Q0003|34.215874|-118.828572|317.0|Thousand Oaks|2010-12-28T00:00:00|2022-11-18T20:16:28
CI|Q0004|32.733147|-117.133049|92.0|San Diego|2011-01-14T00:00:00|2016-11-14T00:00:00
CI|Q0005|33.52795|-117.768082|22.0|Laguna Beach|2011-01-20T00:00:00|
CI|Q0006|33.133739|-117.11084|233.0|Deodar Rd. San Marcos|2011-01-28T00:00:00|2014-05-27T00:00:00
CI|Q0007|33.03653|-116.859268|462.0|8th St. Ramona, Ramona, CA, USA|2011-01-28T00:00:00|2012-10-25T00:00:00
CI|Q0008|33.38493|-117.246674|227.0|E Mission Rd, Fallbrook|2011-02-04T00:00:00|
CI|Q0009|33.60458|-117.704765|101.0|Avenida Majorca Laguna Hill|2011-02-04T00:00:00|
CI|Q0010|33.445568|-117.638329|42.0|Via Santo Tomas, San Clemente|2011-02-11T00:00:00|
CI|Q0011|33.840248|-118.015366|17.0|San Pasqual Cir, Buena Park|2011-02-11T00:00:00|
CI|Q0012|33.459709|-117.098129|331.0|Logger Trail Drive, Temecula|2011-02-16T00:00:00|2018-06-18T20:00:00
CI|Q0014|34.277042|-118.39679|342.0|Foothill Blvd, Lake View Terrace|2011-02-24T00:00:00|
CI|Q0015|34.37468|-118.548836|376.0|Green Mill Ave, Newhall|2011-02-24T00:00:00|
CI|Q0016|33.852779|-117.575317|321.0|2151 Beatrice Dr Corona CA 92879|2011-02-28T00:00:00|2018-06-06T20:00:00
CI|Q0017|32.573036|-117.116806|9.0|Grove Avenue, Imperial Beach|2011-03-25T00:00:00|
CI|Q0018|33.696148|-117.952789|4.0|Whippoorwill Ave, Fountain Valley|2011-03-30T00:00:00|
CI|Q0019|32.683732|-117.096512|22.0|East 3rd Street, National City|2011-05-13T00:00:00|2016-12-08T16:30:00
CI|Q0020|33.960243|-116.953331|852.0|Maureen Dr.,  Cherry Valley|2011-05-20T00:00:00|
CI|Q0021|33.722904|-118.053734|1.4|Saybrook Lane, Huntington Beach|2011-06-07T00:00:00|2014-08-21T00:00:00
CI|Q0022|33.770168|-117.50119|358.0|Wooded Hill Dr, Corona|2011-06-14T00:00:00|
CI|Q0023|33.954834|-117.576065|179.0|Maplewood Court, Corona, CA|2011-06-17T00:00:00|2016-10-17T22:35:00
CI|Q0025|33.092083|-116.646996|1118.0|4275 Highway 78 Santa Ysabel|2011-07-19T00:00:00|
CI|Q0026|33.643051|-117.569427|381.0|21992 Via Del Lago|2011-08-24T00:00:00|2019-05-17T18:30:00
CI|Q0027|32.766228|-115.621086|-3.0|1001 West Kramer Road|2011-08-31T00:00:00|
CI|Q0028|33.831306|-117.181465|458.0|2085 Veranda Court|2011-09-08T00:00:00|2016-02-27T19:00:00
CI|Q0029|33.726509|-117.747889|96.0|Brockton, Irvine CA|2011-09-09T00:00:00|2016-12-08T21:30:00
CI|Q0030|33.979794|-117.753906|266.0|Calle Bienvenida, Chino Hills CA|2011-09-13T00:00:00|
CI|Q0031|34.395344|-118.911629|134.7|River Street, Fillmore CA 93015|2011-12-23T00:00:00|
CI|Q0032|33.280678|-117.291138|72.0|Parrolette Cour, Oceanside CA 92057|2012-02-08T00:00:00|
CI|Q0033|34.093231|-118.866234|501.0|Mulholland Highway, Malibu, CA|2012-02-17T00:00:00|
CI|Q0034|33.690212|-117.655251|332.0|Viaggio Lane, Foothill Ranch CA 92610|2012-02-22T00:00:00|
CI|Q0035|34.465752|-118.204041|871.0|Ninth Street, Acton CA 93510|2012-02-23T00:00:00|
CI|Q0036|34.458752|-117.382607|1014.0|Laurel Oak Road, Victorville CA 92392|2012-02-28T00:00:00|2016-08-10T19:00:00
CI|Q0037|33.030231|-117.091309|169.0|Picaza Place, Rancho Bernardo CA 92127|2012-02-29T00:00:00|
CI|Q0038|33.730576|-117.427605|425.0|Cloudburst Drive, Corona CA 92883|2012-03-05T00:00:00|
CI|Q0039|32.686928|-117.176117|7.0|B Avenue, Coronado CA 92118|2012-03-20T00:00:00|
CI|Q0040|33.532326|-117.008324|502.0|Chaparral Drive, Temecula CA 92592|2012-04-04T00:00:00|
CI|Q0041|34.172039|-117.427612|568.0|Dove Tree Avenue, Rialto CA 92377|2012-05-30T00:00:00|
CI|Q0042|33.925957|-117.658234|172.0|Cattle Creek Drive, Chino Hills, CA|2012-05-30T00:00:00|2015-08-01T11:05:00
CI|Q0043|34.101624|-118.659637|315.0|Mulholland Highway Calabasas, Calabasas, CA, USA|2012-06-01T00:00:00|2013-05-16T00:00:00
CI|Q0044|32.985973|-115.546875|-32.0|West Adler Street, Brawley CA 92227|2012-06-04T00:00:00|2017-05-05T14:30:00
CI|Q0045|34.439079|-118.407761|540.0|Gary Drive Santa Clarita, CA 91387|2012-06-22T00:00:00|
CI|Q0046|34.145096|-117.650513|545.1|Monterrey Street La Verne|2012-10-02T00:00:00|
CI|Q0047|33.944363|-117.988068|88.0|Grovedale Drive Whittier, , CA, USA|2012-10-02T00:00:00|2013-01-10T00:00:00
CI|Q0048|33.772339|-117.803352|76.0|Lariat Lane North Tustin|2012-10-03T00:00:00|
CI|Q0049|34.19706|-117.125648|1659.0|Panorama Road, Running Springs, CA|2012-10-11T00:00:00|
CI|Q0050|34.191422|-118.958534|209.0|Cayo Grande Court, Newbury Park|2012-10-12T00:00:00|
CI|Q0052|32.920419|-117.21244|102.0|Laurelcrest Drive, San Diego|2012-10-16T00:00:00|2017-07-13T14:30:00
CI|Q0053|32.82289|-116.521628|1148.0|Spring Road, Pine Valley|2012-10-17T00:00:00|2017-02-23T18:30:00
CI|Q0054|33.240597|-117.010483|446.0|Fruitvale Road, Valley Center CA, , CA, USA|2012-10-18T00:00:00|2013-07-23T00:00:00
CI|Q0055|33.282227|-117.180946|102.0|Via Mariposa Norte, Bonsall|2012-10-19T00:00:00|
CI|Q0057|34.187561|-118.477135|219.0|Densmore Ave, Lake Balboa|2012-10-25T00:00:00|
CI|Q0058|33.062809|-116.854103|449.0|Penn Street, Ramona CA|2012-10-26T00:00:00|
CI|Q0059|32.734146|-116.491676|953.0|Buckman Springs Road, Pine Valley|2012-10-30T00:00:00|
